policy_scenario_name,ai_efficiency_rate,carbon_price_usd_per_ton,fuel_tax_rate,ai_subsidy_usd_yr,congestion_charge_usd_yr,congestion_charge_usd_per_km,baseline_co2_emissions_ton_yr,baseline_fuel_cost_usd_yr,baseline_vkt_km_yr,emissions_reduced_ton_yr,new_emissions_ton_yr,fuel_cost_savings_usd_yr,new_fuel_cost_usd_yr,baseline_carbon_cost_usd_yr,new_carbon_cost_usd_yr,carbon_cost_savings_usd_yr,baseline_fuel_tax_cost_usd_yr,new_fuel_tax_cost_usd_yr,fuel_tax_savings_usd_yr,baseline_congestion_charge_usd_yr,new_congestion_charge_usd_yr,congestion_charge_savings_usd_yr,ai_implementation_cost_usd_yr,net_ai_cost_usd_yr,total_economic_benefit_usd_yr,marginal_abatement_cost_usd_per_ton
Base Case,0.05,25.0,0.1,,0.0,,12750000.0,8500000000.0,85000000000.0,637500.0,12112500.0,425000000.0,8075000000.0,318750000.0,302812500.0,15937500.0,0.0,0.0,0.0,0.0,0.0,0.0,500000000.0,500000000.0,-59062500.0,784.3137254901961
Moderate Policy,0.05,50.0,0.15,,50000000.0,,12750000.0,8500000000.0,85000000000.0,637500.0,12112500.0,425000000.0,8075000000.0,637500000.0,605625000.0,31875000.0,0.0,0.0,0.0,0.0,0.0,0.0,500000000.0,500000000.0,-43125000.0,784.3137254901961
Ambitious Policy,0.05,100.0,0.2,,150000000.0,,12750000.0,8500000000.0,85000000000.0,637500.0,12112500.0,425000000.0,8075000000.0,1275000000.0,1211250000.0,63750000.0,0.0,0.0,0.0,0.0,0.0,0.0,500000000.0,500000000.0,-11250000.0,784.3137254901961
Net-Zero Aligned,0.05,150.0,0.25,,300000000.0,,12750000.0,8500000000.0,85000000000.0,637500.0,12112500.0,425000000.0,8075000000.0,1912500000.0,1816875000.0,95625000.0,0.0,0.0,0.0,0.0,0.0,0.0,500000000.0,500000000.0,20625000.0,784.3137254901961
Base Case,0.1,25.0,0.1,,0.0,,12750000.0,8500000000.0,85000000000.0,1275000.0,11475000.0,850000000.0,7650000000.0,318750000.0,286875000.0,31875000.0,0.0,0.0,0.0,0.0,0.0,0.0,500000000.0,500000000.0,381875000.0,392.15686274509807
Moderate Policy,0.1,50.0,0.15,,50000000.0,,12750000.0,8500000000.0,85000000000.0,1275000.0,11475000.0,850000000.0,7650000000.0,637500000.0,573750000.0,63750000.0,0.0,0.0,0.0,0.0,0.0,0.0,500000000.0,500000000.0,413750000.0,392.15686274509807
Ambitious Policy,0.1,100.0,0.2,,150000000.0,,12750000.0,8500000000.0,85000000000.0,1275000.0,11475000.0,850000000.0,7650000000.0,1275000000.0,1147500000.0,127500000.0,0.0,0.0,0.0,0.0,0.0,0.0,500000000.0,500000000.0,477500000.0,392.15686274509807
Net-Zero Aligned,0.1,150.0,0.25,,300000000.0,,12750000.0,8500000000.0,85000000000.0,1275000.0,11475000.0,850000000.0,7650000000.0,1912500000.0,1721250000.0,191250000.0,0.0,0.0,0.0,0.0,0.0,0.0,500000000.0,500000000.0,541250000.0,392.15686274509807
Base Case,0.15,25.0,0.1,,0.0,,12750000.0,8500000000.0,85000000000.0,1912500.0,10837500.0,1275000000.0,7225000000.0,318750000.0,270937500.0,47812500.0,0.0,0.0,0.0,0.0,0.0,0.0,500000000.0,500000000.0,822812500.0,261.437908496732
Moderate Policy,0.15,50.0,0.15,,50000000.0,,12750000.0,8500000000.0,85000000000.0,1912500.0,10837500.0,1275000000.0,7225000000.0,637500000.0,541875000.0,95625000.0,0.0,0.0,0.0,0.0,0.0,0.0,500000000.0,500000000.0,870625000.0,261.437908496732
Ambitious Policy,0.15,100.0,0.2,,150000000.0,,12750000.0,8500000000.0,85000000000.0,1912500.0,10837500.0,1275000000.0,7225000000.0,1275000000.0,1083750000.0,191250000.0,0.0,0.0,0.0,0.0,0.0,0.0,500000000.0,500000000.0,966250000.0,261.437908496732
Net-Zero Aligned,0.15,150.0,0.25,,300000000.0,,12750000.0,8500000000.0,85000000000.0,1912500.0,10837500.0,1275000000.0,7225000000.0,1912500000.0,1625625000.0,286875000.0,0.0,0.0,0.0,0.0,0.0,0.0,500000000.0,500000000.0,1061875000.0,261.437908496732
Base Case,0.2,25.0,0.1,,0.0,,12750000.0,8500000000.0,85000000000.0,2550000.0,10200000.0,1700000000.0,6800000000.0,318750000.0,255000000.0,63750000.0,0.0,0.0,0.0,0.0,0.0,0.0,500000000.0,500000000.0,1263750000.0,196.07843137254903
Moderate Policy,0.2,50.0,0.15,,50000000.0,,12750000.0,8500000000.0,85000000000.0,2550000.0,10200000.0,1700000000.0,6800000000.0,637500000.0,510000000.0,127500000.0,0.0,0.0,0.0,0.0,0.0,0.0,500000000.0,500000000.0,1327500000.0,196.07843137254903
Ambitious Policy,0.2,100.0,0.2,,150000000.0,,12750000.0,8500000000.0,85000000000.0,2550000.0,10200000.0,1700000000.0,6800000000.0,1275000000.0,1020000000.0,255000000.0,0.0,0.0,0.0,0.0,0.0,0.0,500000000.0,500000000.0,1455000000.0,196.07843137254903
Net-Zero Aligned,0.2,150.0,0.25,,300000000.0,,12750000.0,8500000000.0,85000000000.0,2550000.0,10200000.0,1700000000.0,6800000000.0,1912500000.0,1530000000.0,382500000.0,0.0,0.0,0.0,0.0,0.0,0.0,500000000.0,500000000.0,1582500000.0,196.07843137254903
Base Case,0.25,25.0,0.1,,0.0,,12750000.0,8500000000.0,85000000000.0,3187500.0,9562500.0,2125000000.0,6375000000.0,318750000.0,239062500.0,79687500.0,0.0,0.0,0.0,0.0,0.0,0.0,500000000.0,500000000.0,1704687500.0,156.86274509803923
Moderate Policy,0.25,50.0,0.15,,50000000.0,,12750000.0,8500000000.0,85000000000.0,3187500.0,9562500.0,2125000000.0,6375000000.0,637500000.0,478125000.0,159375000.0,0.0,0.0,0.0,0.0,0.0,0.0,500000000.0,500000000.0,1784375000.0,156.86274509803923
Ambitious Policy,0.25,100.0,0.2,,150000000.0,,12750000.0,8500000000.0,85000000000.0,3187500.0,9562500.0,2125000000.0,6375000000.0,1275000000.0,956250000.0,318750000.0,0.0,0.0,0.0,0.0,0.0,0.0,500000000.0,500000000.0,1943750000.0,156.86274509803923
Net-Zero Aligned,0.25,150.0,0.25,,300000000.0,,12750000.0,8500000000.0,85000000000.0,3187500.0,9562500.0,2125000000.0,6375000000.0,1912500000.0,1434375000.0,478125000.0,0.0,0.0,0.0,0.0,0.0,0.0,500000000.0,500000000.0,2103125000.0,156.86274509803923
